               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.034985,            0.015579,            0.027804,             0.71524,             0.74528,             0.76684,             0.50185,            0.028379,           0.0057949,           0.0097318,           0.0083764,           0.0083764,           0.0083764
                  84,            0.034911,            0.015398,            0.028038,             0.71132,             0.75071,             0.77244,             0.50568,            0.028331,            0.005792,           0.0097085,           0.0083566,           0.0083566,           0.0083566
                  85,            0.034994,            0.015529,            0.027568,             0.71589,             0.74472,             0.77391,             0.50655,            0.028293,            0.005782,            0.009622,           0.0083368,           0.0083368,           0.0083368
                  86,            0.035001,            0.015542,            0.026745,             0.71681,             0.74669,              0.7756,             0.50788,            0.028277,           0.0057813,           0.0095271,            0.008317,            0.008317,            0.008317
                  87,            0.034673,            0.015303,            0.027786,             0.71725,             0.75163,             0.77819,             0.51061,             0.02822,           0.0057713,           0.0094151,           0.0082972,           0.0082972,           0.0082972
                  88,            0.034762,            0.015368,            0.027248,             0.72549,             0.74586,             0.77968,             0.51257,            0.028199,            0.005769,           0.0093336,           0.0082774,           0.0082774,           0.0082774
                  89,            0.034757,            0.015352,            0.026949,             0.72956,             0.75319,             0.78244,             0.51585,            0.028154,           0.0057592,           0.0092414,           0.0082576,           0.0082576,           0.0082576
                  90,            0.035008,            0.015403,            0.027076,             0.72866,             0.75658,             0.78447,             0.51748,            0.028133,           0.0057571,           0.0091878,           0.0082378,           0.0082378,           0.0082378
                  91,             0.03488,            0.015468,            0.026699,             0.72908,             0.75809,             0.78604,              0.5189,            0.028096,           0.0057524,            0.009143,            0.008218,            0.008218,            0.008218
                  92,            0.034727,            0.015459,            0.027499,             0.73197,             0.75926,             0.78707,             0.52089,            0.028045,           0.0057472,           0.0090545,           0.0081982,           0.0081982,           0.0081982
                  93,            0.034962,            0.015355,            0.026887,             0.73777,             0.75589,             0.78855,             0.52239,            0.028007,           0.0057493,           0.0089785,           0.0081784,           0.0081784,           0.0081784
                  94,            0.034996,            0.015485,            0.026748,             0.74173,              0.7577,              0.7912,             0.52373,            0.027973,           0.0057445,           0.0089034,           0.0081586,           0.0081586,           0.0081586
                  95,            0.034747,            0.015362,            0.026384,             0.74852,              0.7583,             0.79357,             0.52612,            0.027933,           0.0057381,           0.0088231,           0.0081388,           0.0081388,           0.0081388
                  96,            0.034616,            0.015269,            0.026913,             0.75153,             0.76013,             0.79618,             0.52814,            0.027885,           0.0057327,           0.0087631,            0.008119,            0.008119,            0.008119
                  97,            0.034453,            0.015442,            0.026337,             0.75203,             0.76068,             0.79749,             0.52913,            0.027846,           0.0057271,           0.0087028,           0.0080992,           0.0080992,           0.0080992
                  98,            0.034375,            0.015226,             0.02654,             0.75951,             0.75693,             0.79913,              0.5308,            0.027812,           0.0057224,           0.0086398,           0.0080794,           0.0080794,           0.0080794
                  99,            0.034529,            0.015429,            0.026782,             0.75856,              0.7586,             0.80114,              0.5315,            0.027769,           0.0057171,           0.0085855,           0.0080596,           0.0080596,           0.0080596
                 100,            0.034333,            0.015384,            0.027148,             0.76057,             0.75991,              0.8023,             0.53254,            0.027742,           0.0057145,           0.0085304,           0.0080398,           0.0080398,           0.0080398
                 101,            0.034737,            0.015448,            0.026879,             0.75995,             0.76222,             0.80279,             0.53358,            0.027718,            0.005713,           0.0084864,             0.00802,             0.00802,             0.00802
                 102,            0.034548,            0.015408,            0.026181,               0.763,              0.7642,             0.80399,              0.5358,            0.027695,           0.0057084,           0.0084343,           0.0080002,           0.0080002,           0.0080002
                 103,            0.034644,            0.015402,            0.025648,             0.76088,             0.76817,             0.80572,             0.53733,            0.027671,           0.0057071,           0.0083958,           0.0079804,           0.0079804,           0.0079804
                 104,            0.034561,            0.015243,            0.025895,             0.76137,             0.76952,             0.80711,             0.53804,            0.027653,           0.0057057,           0.0083588,           0.0079606,           0.0079606,           0.0079606
                 105,            0.034268,            0.015388,            0.026367,             0.76596,             0.77154,              0.8091,             0.53954,            0.027634,           0.0057059,           0.0083207,           0.0079408,           0.0079408,           0.0079408
                 106,            0.034116,            0.015229,            0.025903,               0.766,             0.77217,             0.81017,             0.54086,            0.027608,           0.0057012,            0.008277,            0.007921,            0.007921,            0.007921
                 107,            0.034366,            0.015324,            0.025761,             0.76824,             0.77321,             0.81001,             0.54067,            0.027583,           0.0056967,           0.0082243,           0.0079012,           0.0079012,           0.0079012
                 108,            0.034333,            0.015368,            0.026196,              0.7724,             0.77169,             0.81099,             0.54155,             0.02756,           0.0056948,           0.0081887,           0.0078814,           0.0078814,           0.0078814
                 109,            0.034347,            0.015276,             0.02547,             0.77222,             0.77283,             0.81275,             0.54261,            0.027538,            0.005693,            0.008153,           0.0078616,           0.0078616,           0.0078616
                 110,            0.034364,            0.015442,            0.025639,             0.76341,             0.77553,             0.81421,             0.54344,            0.027523,           0.0056889,           0.0081151,           0.0078418,           0.0078418,           0.0078418
